entry_time,exit_time,regime,pnl,hours,safety_orders,capital,entry_distance_ema200_pct,entry_ema200_slope_pct
2026-05-15T16:00:00Z,2026-05-20T12:00:00Z,Low,54.80313135999961,120,6,2385.3375999999994,-0.408455384623152,-0.004104910732605216
2026-05-23T08:00:00Z,2026-05-23T12:00:00Z,Low,2.2975,8,0,100.0,-8.364513630969494,-0.08399485296526343
2026-05-28T04:00:00Z,2026-05-28T16:00:00Z,Low,5.513999999999972,16,1,240.0,-7.573963335980949,-0.07606233570414123
2026-05-29T04:00:00Z,2026-05-29T16:00:00Z,Low,16.32143999999988,16,3,710.3999999999999,-7.852874602703352,-0.07886112299100301
2026-05-29T20:00:00Z,2026-05-30T08:00:00Z,Low,5.513999999999999,16,1,240.0,-10.237795439598397,-0.10278665680337751
2026-05-30T12:00:00Z,2026-05-31T00:00:00Z,Low,2.2974999999999857,16,0,100.0,-8.822639635459495,-0.08859119149632333
2026-06-01T08:00:00Z,2026-06-01T16:00:00Z,Low,5.513999999999972,12,1,240.0,-9.268086822814702,-0.09305991908258315
2026-06-02T16:00:00Z,2026-06-03T04:00:00Z,Low,37.50402239999982,16,5,1632.3839999999996,-12.174178263291491,-0.12220402941613973
2026-06-03T08:00:00Z,2026-06-13T04:00:00Z,Low,79.02188390399964,240,7,3439.472639999999,-13.084511510233533,-0.13132992593927195
2026-06-16T04:00:00Z,2026-06-16T04:00:00Z,Medium,2.2974999999999857,4,0,100.0,6.344534644137156,0.06380485191026519
2026-06-16T12:00:00Z,2026-06-17T00:00:00Z,Medium,5.9735000000000005,16,1,260.0,6.599448420786014,0.0663701355140267
2026-06-17T08:00:00Z,2026-07-02T12:00:00Z,Medium,36.322555999999665,368,4,1580.9600000000003,2.8586603394299637,0.0287385113151295
2026-07-14T08:00:00Z,2026-07-14T12:00:00Z,Low,5.513999999999972,8,1,240.0,-9.877240037409663,-0.09917029898424135
2026-07-16T20:00:00Z,2026-07-18T16:00:00Z,Low,10.017099999999921,48,2,436.0,-10.62046450210843,-0.1066245274574773
